date,cases,country
24.5.20,9434,Russia
23.5.20,8894,Russia
22.5.20,8849,Russia
21.5.20,8764,Russia
20.5.20,9263,Russia
19.5.20,8926,Russia
18.5.20,9709,Russia
17.5.20,9200,Russia
16.5.20,10598,Russia
15.5.20,9974,Russia
14.5.20,10028,Russia
13.5.20,10899,Russia
12.5.20,11656,Russia
11.5.20,11012,Russia
10.5.20,10817,Russia
9.5.20,10699,Russia
8.5.20,11231,Russia
7.5.20,10559,Russia
6.5.20,10102,Russia
5.5.20,10581,Russia
4.5.20,10633,Russia
3.5.20,9623,Russia
2.5.20,7933,Russia
1.5.20,7099,Russia
30.4.20,5841,Russia
29.4.20,6411,Russia
28.4.20,6198,Russia
27.4.20,6361,Russia
26.4.20,5966,Russia
25.4.20,5849,Russia
24.4.20,4774,Russia
23.4.20,5236,Russia
22.4.20,5642,Russia
21.4.20,4268,Russia
20.4.20,6060,Russia
19.4.20,4785,Russia
18.4.20,4070,Russia
17.4.20,3448,Russia
16.4.20,3388,Russia
15.4.20,2774,Russia
14.4.20,2558,Russia
13.4.20,2186,Russia
12.4.20,1667,Russia
11.4.20,1786,Russia
10.4.20,1459,Russia
9.4.20,1175,Russia
8.4.20,1154,Russia
7.4.20,954,Russia
6.4.20,658,Russia
5.4.20,582,Russia
4.4.20,601,Russia
3.4.20,771,Russia
2.4.20,440,Russia
1.4.20,501,Russia
31.3.20,302,Russia
30.3.20,270,Russia
29.3.20,228,Russia
28.3.20,196,Russia
27.3.20,182,Russia
26.3.20,163,Russia
25.3.20,57,Russia
24.3.20,0,Russia
23.3.20,132,Russia
22.3.20,53,Russia
21.3.20,54,Russia
20.3.20,52,Russia
19.3.20,33,Russia
18.3.20,21,Russia
17.3.20,30,Russia
16.3.20,4,Russia
15.3.20,14,Russia
14.3.20,15,Russia
13.3.20,5,Russia
12.3.20,15,Russia
11.3.20,0,Russia
10.3.20,0,Russia
9.3.20,0,Russia
8.3.20,0,Russia
7.3.20,6,Russia
6.3.20,0,Russia
5.3.20,0,Russia
4.3.20,1,Russia
3.3.20,1,Russia
2.3.20,0,Russia
1.3.20,0,Russia
29.2.20,0,Russia
28.2.20,0,Russia
27.2.20,0,Russia
26.2.20,0,Russia
25.2.20,0,Russia
24.2.20,0,Russia
23.2.20,0,Russia
22.2.20,0,Russia
21.2.20,0,Russia
20.2.20,0,Russia
19.2.20,0,Russia
18.2.20,0,Russia
17.2.20,0,Russia
16.2.20,0,Russia
15.2.20,0,Russia
14.2.20,0,Russia
13.2.20,0,Russia
12.2.20,0,Russia
11.2.20,0,Russia
10.2.20,0,Russia
9.2.20,0,Russia
8.2.20,0,Russia
7.2.20,0,Russia
6.2.20,0,Russia
5.2.20,0,Russia
4.2.20,0,Russia
3.2.20,0,Russia
2.2.20,0,Russia
1.2.20,2,Russia
31.1.20,0,Russia
30.1.20,0,Russia
29.1.20,0,Russia
28.1.20,0,Russia
27.1.20,0,Russia
26.1.20,0,Russia
25.1.20,0,Russia
24.1.20,0,Russia
23.1.20,0,Russia
22.1.20,0,Russia
21.1.20,0,Russia
20.1.20,0,Russia
19.1.20,0,Russia
18.1.20,0,Russia
17.1.20,0,Russia
16.1.20,0,Russia
15.1.20,0,Russia
14.1.20,0,Russia
13.1.20,0,Russia
12.1.20,0,Russia
11.1.20,0,Russia
10.1.20,0,Russia
9.1.20,0,Russia
8.1.20,0,Russia
7.1.20,0,Russia
6.1.20,0,Russia
5.1.20,0,Russia
4.1.20,0,Russia
3.1.20,0,Russia
2.1.20,0,Russia
1.1.20,0,Russia
31.12.19,0,Russia
16.6.20,19957,United States of America
15.6.20,19543,United States of America
14.6.20,25540,United States of America
13.6.20,25639,United States of America
12.6.20,22883,United States of America
11.6.20,20614,United States of America
10.6.20,18665,United States of America
9.6.20,18822,United States of America
8.6.20,22302,United States of America
7.6.20,22223,United States of America
6.6.20,25178,United States of America
5.6.20,21140,United States of America
4.6.20,19699,United States of America
3.6.20,20544,United States of America
2.6.20,21086,United States of America
1.6.20,19807,United States of America
31.5.20,23297,United States of America
30.5.20,25337,United States of America
29.5.20,21817,United States of America
28.5.20,18721,United States of America
27.5.20,18910,United States of America
26.5.20,19064,United States of America
25.5.20,20568,United States of America
24.5.20,21236,United States of America
23.5.20,24147,United States of America
22.5.20,25434,United States of America
21.5.20,23285,United States of America
20.5.20,19970,United States of America
19.5.20,21841,United States of America
18.5.20,18873,United States of America
17.5.20,24487,United States of America
16.5.20,25508,United States of America
15.5.20,27143,United States of America
14.5.20,20782,United States of America
13.5.20,22048,United States of America
12.5.20,18117,United States of America
11.5.20,20258,United States of America
10.5.20,25612,United States of America
9.5.20,26957,United States of America
8.5.20,28369,United States of America
7.5.20,24128,United States of America
6.5.20,23841,United States of America
5.5.20,22593,United States of America
4.5.20,24972,United States of America
3.5.20,29288,United States of America
2.5.20,33955,United States of America
1.5.20,29917,United States of America
30.4.20,27326,United States of America
29.4.20,24132,United States of America
28.4.20,22541,United States of America
27.4.20,26857,United States of America
26.4.20,48529,United States of America
25.4.20,21352,United States of America
24.4.20,26543,United States of America
23.4.20,17588,United States of America
22.4.20,37289,United States of America
21.4.20,28065,United States of America
20.4.20,24601,United States of America
19.4.20,32922,United States of America
18.4.20,30833,United States of America
17.4.20,31667,United States of America
16.4.20,30148,United States of America
15.4.20,26922,United States of America
14.4.20,25023,United States of America
13.4.20,27620,United States of America
12.4.20,28391,United States of America
11.4.20,35527,United States of America
10.4.20,33901,United States of America
9.4.20,33323,United States of America
8.4.20,30613,United States of America
7.4.20,30561,United States of America
6.4.20,25398,United States of America
5.4.20,34272,United States of America
4.4.20,32425,United States of America
3.4.20,28819,United States of America
2.4.20,27103,United States of America
1.4.20,24998,United States of America
31.3.20,21595,United States of America
30.3.20,18360,United States of America
29.3.20,19979,United States of America
28.3.20,18695,United States of America
27.3.20,16797,United States of America
26.3.20,13963,United States of America
25.3.20,8789,United States of America
24.3.20,11236,United States of America
23.3.20,8459,United States of America
22.3.20,7123,United States of America
21.3.20,5374,United States of America
20.3.20,4835,United States of America
19.3.20,2988,United States of America
18.3.20,1766,United States of America
17.3.20,887,United States of America
16.3.20,823,United States of America
15.3.20,777,United States of America
14.3.20,511,United States of America
13.3.20,351,United States of America
12.3.20,287,United States of America
11.3.20,271,United States of America
10.3.20,200,United States of America
9.3.20,121,United States of America
8.3.20,95,United States of America
7.3.20,105,United States of America
6.3.20,74,United States of America
5.3.20,34,United States of America
4.3.20,22,United States of America
3.3.20,14,United States of America
2.3.20,20,United States of America
1.3.20,3,United States of America
29.2.20,6,United States of America
28.2.20,1,United States of America
27.2.20,6,United States of America
26.2.20,0,United States of America
25.2.20,18,United States of America
24.2.20,0,United States of America
23.2.20,0,United States of America
22.2.20,19,United States of America
21.2.20,1,United States of America
20.2.20,0,United States of America
19.2.20,0,United States of America
18.2.20,0,United States of America
17.2.20,0,United States of America
16.2.20,0,United States of America
15.2.20,0,United States of America
14.2.20,1,United States of America
13.2.20,1,United States of America
12.2.20,0,United States of America
11.2.20,1,United States of America
10.2.20,0,United States of America
9.2.20,0,United States of America
8.2.20,0,United States of America
7.2.20,0,United States of America
6.2.20,1,United States of America
5.2.20,0,United States of America
4.2.20,0,United States of America
3.2.20,3,United States of America
2.2.20,1,United States of America
1.2.20,1,United States of America
31.1.20,1,United States of America
30.1.20,0,United States of America
29.1.20,0,United States of America
28.1.20,0,United States of America
27.1.20,3,United States of America
26.1.20,0,United States of America
25.1.20,1,United States of America
24.1.20,0,United States of America
23.1.20,0,United States of America
22.1.20,0,United States of America
21.1.20,1,United States of America
20.1.20,0,United States of America
19.1.20,0,United States of America
18.1.20,0,United States of America
17.1.20,0,United States of America
16.1.20,0,United States of America
15.1.20,0,United States of America
14.1.20,0,United States of America
13.1.20,0,United States of America
12.1.20,0,United States of America
11.1.20,0,United States of America
10.1.20,0,United States of America
9.1.20,0,United States of America
8.1.20,0,United States of America
7.1.20,0,United States of America
6.1.20,0,United States of America
5.1.20,0,United States of America
4.1.20,0,United States of America
3.1.20,0,United States of America
2.1.20,0,United States of America
1.1.20,0,United States of America
31.12.19,0,United States of America
